
SetupTitle, Generic C-f
DataValue, 5.00808, 0.049620928, 17099.75, 1.6431E-09, 6.71781E-07, 3.141592653589, 6.2525631559083338E-12, 608605684.37709212, 0.0024458863826157633, 3640.8766406462182, -1488571.4506298807, 6.252600560993285E-12, 1488575.9032085196, -1.5683504452896544
DataValue, 5.00796, 0.049617984000000004, 19156.21, 2.38468E-09, 7.52042E-07, 3.141592653589, 6.2481671328903462E-12, 419343475.85420263, 0.0031709399209086729, 4216.3975387974833, -1329699.5982154154, 6.2482299573360107E-12, 1329706.2831702505, -1.5676253975017094
DataValue, 5.007992, 0.049611584, 21459.97, 2.78151E-09, 8.41733E-07, 3.141592653589, 6.2425980890748753E-12, 359516953.02191979, 0.0033045039222651361, 3925.7910029844466, -1188012.2085899771, 6.2426662566614635E-12, 1188018.6949681533, -1.5674918349006675
DataValue, 5.007992, 0.04961216, 24040.79, 2.88854E-09, 9.4304E-07, 3.141592653589, 6.2431175320536E-12, 346195655.93690932, 0.0030630089921954533, 3247.9855098839107, -1060390.4585849331, 6.2431761051326596E-12, 1060395.4328776775, -1.567733327381722
DataValue, 5.00808, 0.04960992, 26931.98, 3.64815E-09, 1.05637E-06, 3.141592653589, 6.2426344900756613E-12, 274111535.98399186, 0.003453477474748431, 3269.1540722639993, -946626.72513946, 6.2427089428975372E-12, 946632.37009760388, -1.5673428630493573
DataValue, 5.008056, 0.04961824, 30170.88, 4.47012E-09, 1.18356E-06, 3.141592653589, 6.2434183042023036E-12, 223707640.95818457, 0.0037768427456149247, 3191.04132570782, -844896.52883026563, 6.2435073636994644E-12, 844902.55483941711, -1.5670195020074376
DataValue, 5.0081039999999994, 0.049489856000000006, 33799.29, 4.9662E-09, 1.3255299999999998E-06, 3.141592653589, 6.2416888554952863E-12, 201361201.72365189, 0.0037465768409617288, 2826.4348989518548, -754404.62559052231, 6.2417764690707545E-12, 754409.92029970954, -1.567049767483818
DataValue, 5.00812, 0.049489024000000006, 37864.06, 6.37384E-09, 1.48513E-06, 3.141592653589, 6.2424837863167929E-12, 156891293.16079474, 0.00429177243742972, 2889.7762400570878, -673329.32539818739, 6.2425987685649106E-12, 673335.52650064125, -1.5665045807076723
DataValue, 5.008112, 0.049499712, 42417.66, 7.69566E-09, 1.6630699999999998E-06, 3.141592653589, 6.2399908719129051E-12, 129943370.67905806, 0.0046273818901188778, 2782.374047797618, -601284.72511399724, 6.2401244867355482E-12, 601291.16263317643, -1.5661689779325434
DataValue, 5.008184, 0.04950368, 47518.9, 9.2229E-09, 1.8630499999999999E-06, 3.141592653589, 6.2399091041128988E-12, 108425766.29910332, 0.0049504307452832722, 2657.0996104321266, -536741.09328037524, 6.2400620240962134E-12, 536747.6701338836, -1.565845936488699
DataValue, 5.0082239999999993, 0.049471168, 53233.62, 1.09336E-08, 2.0867E-06, 3.141592653589, 6.238700651016065E-12, 91461183.87356405, 0.0052396607082953956, 2510.9104626286226, -479212.41515760095, 6.2388719285803495E-12, 479218.99327189883, -1.5655567140357705
DataValue, 5.0081359999999995, 0.049470784000000004, 59635.6, 1.30521E-08, 2.3366599999999997E-06, 3.141592653589, 6.2360568070951249E-12, 76616023.475149587, 0.0055857933974134029, 2390.4286973801854, -427947.92562272609, 6.2362513788515777E-12, 427954.601791068, -1.5652105914906727
DataValue, 5.0081679999999995, 0.049390848, 66807.49, 1.5584E-08, 2.61768E-06, 3.141592653589, 6.2360778923575436E-12, 64168377.823408626, 0.00595336328351823, 2274.2093337281622, -382004.12530245987, 6.2362989147626756E-12, 382010.89483965124, -1.5648430338439769
DataValue, 5.0082239999999993, 0.049405504, 74841.900000000009, 1.94572E-08, 2.9313299999999998E-06, 3.141592653589, 6.2336159201421031E-12, 51394856.402771205, 0.006637669590254254, 2264.2886185884336, -341127.04584045144, 6.2338905648914726E-12, 341134.56055753381, -1.5641587546843361
DataValue, 5.0081999999999995, 0.049417792, 83842.53, 2.39926E-08, 3.2836899999999997E-06, 3.141592653589, 6.23329824471611E-12, 41679517.851337492, 0.0073065971513754354, 2224.9990405790027, -304519.18923163239, 6.2336310178322358E-12, 304527.31770897226, -1.5634898596635698
DataValue, 5.0081999999999995, 0.049376064000000004, 93925.6, 2.83991E-08, 3.67831E-06, 3.141592653589, 6.2328185151279016E-12, 35212383.491026126, 0.0077206923831868446, 2098.8530567474786, -271847.77641421091, 6.2331900477731834E-12, 271855.87859287614, -1.5630757878140413
DataValue, 5.008264, 0.049247104, 105221.20000000001, 3.3903E-08, 4.1198299999999995E-06, 3.141592653589, 6.2315513337468925E-12, 29495914.815798011, 0.0082292230504656758, 1997.3313957847006, -242712.02561117546, 6.2319733351012365E-12, 242720.24371482589, -1.5625672894981857
DataValue, 5.008264, 0.049216448, 117875.40000000001, 3.9976200000000004E-08, 4.61345E-06, 3.141592653589, 6.229063674078645E-12, 25014883.855894253, 0.0086651421387464924, 1878.0937407142067, -216741.25024634547, 6.229531381382919E-12, 216749.38706821724, -1.5621314015195458
DataValue, 5.008272, 0.049478464, 132051.30000000002, 4.9467E-08, 5.1678799999999996E-06, 3.141592653589, 6.2285918223141434E-12, 20215497.200153638, 0.0095720101859950325, 1852.0424712698687, -193485.21734542478, 6.2291625069433205E-12, 193494.08102709925, -1.5612246089328039
DataValue, 5.008264, 0.049470336000000004, 147932, 6.00828E-08, 5.7882E-06, 3.141592653589, 6.227324998004091E-12, 16643698.362925829, 0.010380221830620918, 1793.1487323423828, -172746.66780749531, 6.2279959860780129E-12, 172755.97419762198, -1.5604164777597005
DataValue, 5.00836, 0.049521920000000004, 165722.7, 7.47844E-08, 6.4843399999999993E-06, 3.141592653589, 6.2273590985951893E-12, 13371772.722653387, 0.011533078154445943, 1778.3682413200529, -154197.1898139354, 6.2281874114092921E-12, 154207.4445029051, -1.5592637599451598
DataValue, 5.0083199999999994, 0.049533568, 185652.80000000002, 9.4800100000000007E-08, 7.2657299999999993E-06, 3.141592653589, 6.2287067292891275E-12, 10548512.079628607, 0.01304756714053509, 1795.4625775683771, -137608.99317317052, 6.2297670981456319E-12, 137620.70588396624, -1.5577494999803738
DataValue, 5.008392, 0.049492544000000006, 207979.80000000002, 9.67257E-08, 8.14733E-06, 3.141592653589, 6.2346816493775785E-12, 10338513.962680033, 0.011872073427736449, 1456.9681528521439, -122722.29966572335, 6.2355604036120889E-12, 122730.94797744384, -1.5589248110942535
DataValue, 5.008368, 0.049479424, 232991.80000000002, 1.25977E-07, 9.144529999999999E-06, 3.141592653589, 6.2465595430933486E-12, 7937956.9286457058, 0.013776213758388896, 1506.2118828011719, -109334.24155704455, 6.2477450405589287E-12, 109344.61601327272, -1.5570209844392344
DataValue, 5.008424, 0.049456256000000004, 261011.90000000002, 1.61465E-07, 1.02533E-05, 3.141592653589, 6.2520650514575859E-12, 6193292.6640448393, 0.015747612963631221, 1535.4772340214013, -97505.395742678811, 6.2536154842769784E-12, 97517.485043824869, -1.5550500153736919
DataValue, 5.008392, 0.049438144, 292401.7, 2.04787E-07, 1.14945E-05, 3.141592653589, 6.256483780259324E-12, 4883122.46382827, 0.017816085954151985, 1549.4743305691609, -86970.523972357725, 6.258469669036976E-12, 86984.325661164621, -1.5529821255004428
DataValue, 5.008448, 0.049467840000000006, 327566.5, 2.57397E-07, 1.28728E-05, 3.141592653589, 6.2545154997042354E-12, 3885049.1652971869, 0.019995416692561059, 1552.6867026852958, -77652.130313590591, 6.2570161593808067E-12, 77667.65207108781, -1.5508035742970148
DataValue, 5.008456, 0.049431680000000006, 366960.4, 3.25337E-07, 1.4419400000000001E-05, 3.141592653589, 6.2538595075104973E-12, 3073735.8492885837, 0.022562450587403079, 1563.9326668291469, -69315.727064785751, 6.2570431233506919E-12, 69333.367896751181, -1.5482377036169661
DataValue, 5.0085039999999994, 0.049405504, 411091.7, 3.98374E-07, 1.6140400000000002E-05, 3.141592653589, 6.2487869336235109E-12, 2510203.9791753478, 0.024681792272806122, 1528.262341978721, -61918.612922714216, 6.2525936375707863E-12, 61937.470178066054, -1.5461195446651055
